player1_new,count,p1_choke_pct,opp_choke_adj
R Gasquet,4177,0.1002786663058485,-0.006211219637682103
M Ebden,2586,0.03716522833351883,-0.005328044069720492
K Khachanov,3294,0.009780629926985557,-0.0050322447747088
J Isner,4774,0.023143492272562547,-0.0035552316642714346
S Tsitsipas,3080,0.029997759658105593,-0.002936222059665723
J Sousa,3039,0.04210732010816137,-0.002474938500047542
M Cilic,6943,0.022342164824335216,4.8046382111164006e-05
S Querrey,4375,0.038983312144957476,0.00012781495635544624
N Kyrgios,5908,-0.004626561229146236,0.0010170520448313626
L Hewitt,2760,0.024715484131797066,0.001348018997024051
D Schwartzman,3718,0.03212154960026449,0.0013989031102423094
A Rublev,3218,0.046894565920853865,0.001860278603012869
F Verdasco,5629,-0.017645868296871748,0.002558795463192971
B Tomic,5497,-0.0005339927733469232,0.0027441744830081667
M Baghdatis,3936,0.015987669542787082,0.0030290199366354376
M Raonic,8863,0.01860089343788799,0.0032678508081784674
J Janowicz,2723,-0.018628531343023128,0.0032883808764099776
J Benneteau,2847,0.01196413882882958,0.003932620063830566
V Troicki,3813,-0.020286039840055982,0.004665890862860121
P Kohlschreiber,3346,-0.009678758977759641,0.004841535590626555
I Karlovic,3316,-0.009622695964173141,0.005072965317212572
G Muller,2658,0.020541147847721337,0.005190374496905099
A Dolgopolov,3555,0.007438321796058731,0.005206865339021849
T Berdych,8460,0.03321384399949498,0.005337867065868684
A Seppi,7057,-0.0024269073762991054,0.005591722503248895
G Garcia-Lopez,2596,0.026408598569836263,0.0058616573229832835
R Federer,11674,0.04190440526803359,0.006216405387213236
P Carreno Busta,3979,-0.001302344422398239,0.006687821468399928
F Fognini,5196,0.01680918928787367,0.006844161857318564
G Monfils,7371,0.009345442725836177,0.0071393897438131555
D Thiem,6141,0.03530335940003998,0.007725550928114455
F Lopez,4561,-0.041253091791707705,0.007951639461199372
N Basilashvili,2745,-0.02629383450000711,0.008099568432695608
K Nishikori,7760,0.027938453582990536,0.008278446516116374
J Wilfried Tsonga,6563,-0.013910858834689645,0.00834353083902832
S Wawrinka,9785,0.015122432325542707,0.008561006343825775
D Ferrer,7422,0.03440449517231016,0.008599446292071038
G Simon,5824,-0.011136499475997486,0.008825308623920586
P Herbert,2511,0.001539668584229755,0.009342627964838365
N Djokovic,13651,0.044185794000145454,0.009499541735998976
A Zverev,4828,0.018483761658953428,0.009675103974001117
J Millman,3322,-0.03065478909249303,0.010226213150769096
J Martin Del Potro,2920,0.018464147426411687,0.010706621886198715
D Medvedev,3529,0.010209833324263225,0.01078025984123892
G Dimitrov,8217,0.019218632862858343,0.010863042597281438
R Nadal,10889,0.010787558976497132,0.011163620500944963
J Chardy,3409,0.01807448856173422,0.011234276091227739
D Istomin,3099,0.005637300234057317,0.01141260093941713
A Mannarino,3041,-0.006913024940239164,0.011535254756279536
D Goffin,4798,0.004037176533042561,0.011681446168996933
K Anderson,4067,0.004050266990276615,0.012005418813774326
R Bautista Agut,5201,-0.00759020143869864,0.012246042931774063
B Paire,3638,0.011383668876141733,0.015111675954695585
A Murray,9045,0.007940865759560828,0.016089914879537842
D Lajovic,3059,-0.008341408983061412,0.016135353877476603
T Sandgren,2888,-0.014812027425720225,0.01682611965385494
N Almagro,3481,0.012100847273368192,0.01709732520790821
A Ramos-Vinolas,2593,0.0004602631980115195,0.017590119242415565
M Fucsovics,2993,0.031099426128449972,0.01765463527667996
T Fritz,2639,0.01959050149228173,0.01943103159851176
J Duckworth,3226,-0.027875110148115372,0.020703902786831242
