player1_new,count,p1_choke_pct,opp_choke_adj
S Kwon,3370,0.019054429558686706,-0.003489915258969036
H Zeballos,3526,0.010885394893469314,-0.0018198765384664218
C Garin,6010,0.018109163411887026,-0.0016790815236240424
T Smyczek,3620,-0.0005918830896220557,-0.0013212317491741747
J Melzer,5250,0.0019145419673351836,-0.0011954655504040766
Q Halys,3565,-0.007850009242471328,-0.0006300895788142756
I Ivashka,2807,0.0506659898721642,7.978032711603033e-05
M Trungelliti,2619,0.0003153084077536575,0.0003860425806170489
S Caruso,3471,0.0011449589480085115,0.0003876755552962873
J Monaco,6012,0.037110001116826524,0.0007483254318919836
M Llodra,3130,0.010860289970131609,0.0009537552116983512
V Estrella Burgos,3127,-0.028025348339862997,0.0009774074936397589
H Laaksonen,3521,-0.00250451817134503,0.000994888743588126
T Ito,3237,0.002054263111374519,0.0010506634249540818
T Monteiro,4251,0.00932012736590954,0.0010670218659260995
N Basilashvili,8754,0.004390687732169052,0.00124579981281023
J Lennard Struff,5065,0.017717576197483702,0.0012577898945523996
T Kamke,3297,0.03290323363067749,0.001669080423938763
D Sela,5575,0.005837348958439989,0.0017393625652565323
C Alcaraz,2662,0.009729406282972851,0.0018872552145988
P Andujar,7689,0.005003710539467335,0.002015337357289486
J Sinner,4530,0.0003745690895236607,0.0020867841915601405
T Daniel,3805,0.023121103708276497,0.0021644528474405464
T Haas,5765,0.007186337489062717,0.0021888887126340468
G Muller,8529,0.012434283810636744,0.0021908713053179233
P Gojowczyk,4124,-0.029353849726693283,0.0022125153181234334
S Travaglia,3484,0.012789748175454826,0.0022511461431853536
M Fish,5327,0.04358900932973199,0.00232804665208294
M Marterer,2917,-0.04087923529805578,0.0023681779324805953
J Sousa,9376,0.032670570709124845,0.0025139482185040983
R Carballes Baena,3942,0.03143468499079739,0.0025778439686429534
S Groth,3202,0.0025313864394100553,0.0026116406075752975
E Roger-Vasselin,3719,0.007984952022306849,0.0027290573270720856
A Dolgopolov,9073,0.008885039143781718,0.002790988834453608
J Tipsarevic,9878,0.014434071381903751,0.002798591389135799
D Lajovic,10560,-0.008625794577115212,0.0030245660322445397
L Pouille,12593,0.01761144071045387,0.0032104924228645165
R Gasquet,22209,0.029506335174270863,0.003227731688561365
L Djere,5079,0.0049303642893562954,0.0033000741392620234
G Garcia-Lopez,9408,0.005015582297264466,0.0034032014450954286
