,receive_nobreak_won,receive_nobreak_faced,serve_nobreak_won,serve_nobreak_faced,receive_break_won,receive_break_faced,serve_break_won,serve_break_faced,serve_nobreak_pct,serve_break_pct,receive_nobreak_pct,receive_break_pct,serve_choke_pct,receive_choke_pct,choke_pct
D Nalbandian,395,1050,602,979,34,100,66,108,0.6172381835032438,0.6057692307692307,0.37478260869565216,0.37,-0.008531047265986951,0.04478260869565217,0.01812578071483261
L Mayer,1699,5114,3270,5071,129,365,260,436,0.6447495648810675,0.5970149253731343,0.33275795934023783,0.3634408602150538,0.027734639507933218,0.009317099125184046,0.018525869316558634
L Hewitt,1450,3782,2339,3809,155,384,209,366,0.614735226400614,0.5772532188841202,0.3827923750643998,0.40289256198347106,0.017482007516493776,0.019899813080928717,0.018690910298711248
J Thompson,1501,4195,2607,4134,140,366,233,401,0.6308455361360416,0.5848303393213573,0.3578579743888242,0.38626609442060084,0.026015196814684245,0.011591879968223383,0.018803538391453815
S Querrey,3051,9270,6303,9182,265,706,376,604,0.6859513035983624,0.6193181818181818,0.32945570971184635,0.3784119106699752,0.046633121780180656,-0.008956200958128858,0.0188384604110259
L Pouille,2148,6040,3925,6075,198,531,319,528,0.6459919028340081,0.6035031847133758,0.355700325732899,0.37717908082408874,0.022488718120632262,0.018521244908810262,0.020504981514721264
M Ymer,475,1184,708,1216,66,150,78,156,0.5866261398176292,0.5390625,0.39797507788161995,0.424,0.027563639817629233,0.013975077881619967,0.0207693588496246
A Murray,6711,16068,10578,15950,871,1966,745,1203,0.6630529595015576,0.6178050652340752,0.4173057892132608,0.4409486931268151,0.025247894267482435,0.016357096086445665,0.020802495176964052
A Zverev,3332,8599,5547,8356,418,957,398,669,0.6635525070955535,0.5955786736020806,0.38717093918841244,0.43330179754020814,0.04797383349347285,-0.0061308583517957,0.020921487570838577
N Djokovic,10392,24055,16197,23384,1440,3231,1023,1546,0.692428887753364,0.6579586877278251,0.4317118608983647,0.44431101771239867,0.01447020002553891,0.02740084318596605,0.02093552160575248
P Herbert,1458,4268,2814,4439,137,376,220,381,0.6340603657193215,0.5821205821205822,0.34203296703296704,0.37184873949579833,0.031939783598739294,0.01018422753716871,0.021062005567954
D Medvedev,2225,5613,3729,5550,283,634,256,424,0.6713274336283186,0.6030534351145038,0.3957640469105549,0.44005449591280654,0.04827399851381477,-0.004290449002251652,0.021991774755781558
A Rublev,1829,4788,3007,4621,205,504,258,430,0.6504977758949375,0.6,0.38154664484451717,0.4056291390728477,0.030497775894937535,0.01591750577166947,0.023207640833303504
P Mathieu,712,2207,1333,2174,49,163,136,242,0.6143359718557607,0.5730994152046783,0.3242306025140876,0.33840304182509506,0.02123655665108239,0.025827560688992522,0.023532058670037458
K Anderson,3756,11021,7403,10737,293,854,491,744,0.6890283288733045,0.6528436018957346,0.3409765308875101,0.3490566037735849,0.016184726977569803,0.03191992711392524,0.024052327045747522
U Humbert,770,2188,1353,2099,71,213,118,190,0.6443838108231014,0.6137931034482759,0.3522727272727273,0.3546325878594249,0.010590707374825498,0.037640139413302375,0.024115423394063938
B Kavcic,645,1703,1044,1736,67,161,93,182,0.6034858387799564,0.5425531914893617,0.3777038269550749,0.4099616858237548,0.04093264729059477,0.007742141131320067,0.02433739421095742
A Kuznetsov,1070,3002,1868,2987,110,266,146,280,0.6258503401360545,0.5421052631578948,0.35654416505480335,0.4098360655737705,0.06374507697815969,-0.01329190051896715,0.02522658822959627
G Barrere,681,1879,1099,1819,71,188,109,207,0.6060448150078166,0.5504885993485342,0.3623041940373926,0.3854166666666667,0.03555621565928237,0.01688752737072593,0.026221871515004148
T Daniel,520,1647,970,1636,33,119,95,183,0.5956221198156681,0.5477031802120141,0.318259874069834,0.3333333333333333,0.02791893960365401,0.02492654073650071,0.026422740170077362
J Chardy,2477,7256,4642,7171,223,611,367,629,0.6472287168202449,0.5857338820301783,0.3416258836324089,0.369901547116737,0.04149483479006656,0.011724336515671917,0.02660958565286924
D Thiem,3848,9881,6363,9611,437,1128,483,763,0.6618267943569148,0.6292004634994206,0.3891393647931069,0.38843648208469056,0.012626330857494223,0.04070288270841634,0.026664606782955284
J Sousa,1665,4754,2876,4631,143,398,275,487,0.62143310082435,0.5706984667802385,0.3504326328800989,0.3674698795180723,0.030734634044111492,0.0229627533620266,0.026848693703069047
L Harris,631,1864,1150,1770,67,171,92,172,0.6491978609625668,0.5588235294117647,0.3396130346232179,0.3948339483394834,0.0703743315508021,-0.015220913716265473,0.027576708917268312
M Cilic,5254,13803,9090,13357,533,1398,627,972,0.680240766887122,0.6408582089552238,0.3804934186866144,0.3825100133511348,0.019382557931898154,0.03798340533547958,0.02868298163368887
R Berankis,1284,3663,2206,3598,119,344,223,398,0.6138453217955652,0.5682730923694779,0.35078394897688014,0.3581081081081081,0.025572229426087296,0.03267584086877203,0.029124035147429665
C Moutet,866,2247,1288,2157,100,253,133,252,0.5990252547629596,0.5482954545454546,0.38432040903280784,0.39660056657223797,0.03072980021750506,0.027719842460569875,0.02922482133903747
D Istomin,1463,4378,2735,4284,105,310,244,424,0.6384580291970803,0.5801526717557252,0.3347476552032157,0.35365853658536583,0.03830535744135512,0.021089118617849865,0.02969723802960249
S Tsitsipas,1741,4824,3337,4923,203,508,231,386,0.6770854071272148,0.5987654320987654,0.3608854589764419,0.3996710526315789,0.058319975028449336,0.0012144063448629935,0.029767190686656165
R Gasquet,3933,10205,6822,10297,454,1128,466,773,0.6623064345484274,0.6025200458190149,0.3851528384279476,0.4022801302931596,0.03978638872941255,0.022872708134788,0.03132954843210027
R Federer,7720,19267,13106,18309,897,2189,644,963,0.7154109403009398,0.6622765757290687,0.40047503485310065,0.4093490607252075,0.033134364571871036,0.031125974127893162,0.032130169349882096
M Cecchinato,1027,2899,1825,2935,105,292,151,275,0.6224052718286656,0.5626666666666666,0.35445148382794267,0.36989795918367346,0.03973860516199891,0.024553524644269208,0.032146064903134056
T Kamke,557,1549,871,1463,40,125,85,160,0.5982085732565579,0.5576923076923077,0.35961188599151,0.35555555555555557,0.020516265564250142,0.04405633043595444,0.03228629800010229
D Goffin,3514,8844,5507,8602,431,1015,432,763,0.6401976557113307,0.5701042873696408,0.39691413237924866,0.4224215246636771,0.050093368341689884,0.014492607715571558,0.03229298802863072
D Ferrer,4602,10912,6912,10614,599,1375,523,883,0.6511106962852343,0.5930824008138352,0.42117689792953145,0.43322033898305085,0.03802829547139909,0.0279565589464806,0.03299242720893984
F Auger Aliassime,961,2609,1655,2507,93,255,130,214,0.6593785960874569,0.6050955414012739,0.36803248431155405,0.37464788732394366,0.03428305468618299,0.03338459698761039,0.03383382583689669
M Ebden,837,2339,1399,2264,82,212,125,246,0.6188663282571912,0.5346820809248555,0.35793357933579334,0.391025641025641,0.06418424733233576,0.006907938310152316,0.03554609282124403
S Korda,407,1047,652,1048,52,136,64,118,0.6236933797909407,0.5688073394495413,0.3862249346120314,0.3898305084745763,0.03488604034139943,0.0363944261374551,0.03564023323942726
J Martin Del Potro,3214,8491,5681,8312,342,862,318,518,0.6829529243937232,0.6116504854368932,0.3783028751018508,0.3970893970893971,0.05130243895683008,0.021213478012453678,0.036257958484641875
J Monaco,1065,2765,1624,2664,104,296,164,287,0.6107091172214182,0.5788113695090439,0.3842931937172775,0.36363636363636365,0.011897747712374302,0.06065683008091385,0.036277288896644076
M Fucsovics,1512,3800,2347,3731,194,458,186,350,0.6293395980161838,0.5466666666666666,0.39692307692307693,0.41935483870967744,0.06267293134951714,0.0175682382133995,0.040120584781458316
P Petzschner,406,1157,684,1100,33,108,59,112,0.6233333333333333,0.5613207547169812,0.3516308671439936,0.35096153846153844,0.04201257861635212,0.04066932868245517,0.04134095364940364
R Albot,1226,3279,1876,3132,118,328,179,346,0.6002475247524752,0.5358744394618834,0.3734832790766499,0.3691588785046729,0.04437308529059182,0.04432440057197703,0.04434874293128442
K Majchrzak,387,1151,681,1088,27,105,71,131,0.627104377104377,0.5670995670995671,0.3381294964028777,0.32682926829268294,0.040004810004809946,0.051300228110194766,0.04565251905750235
I Ivashka,457,1221,781,1190,43,118,53,97,0.6550387596899225,0.5736040609137056,0.3732021196063588,0.38073394495412843,0.06143469877621689,0.03246817465223036,0.046951436714223624
M Fish,986,2519,1622,2386,98,265,98,157,0.6781979082864039,0.6147859922178989,0.39022527682321495,0.3780821917808219,0.043411916068505044,0.05214308504239303,0.047777500555449035
E Ruusuvuori,296,725,416,674,36,105,33,71,0.6201550387596899,0.543859649122807,0.4024242424242424,0.37073170731707317,0.05629538963688287,0.07169253510716925,0.06399396237202606
