player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,name,,,
100081,Charlie,Pasarell,R,19440212,USA,185,Q1269243,C Pasarell,,,
100082,Roger,Dowdeswell,R,19440216,ZIM,,Q7358114,R Dowdeswell,,,
100083,Nicola,Spear,R,19440222,SRB,,Q1258505,N Spear,,,
100084,Tom,Okker,R,19440222,NED,178,Q455411,T Okker,,,
100085,Hans Joachim,Ploetz,R,19440226,GER,,,H Ploetz,,,
100086,Frantisek,Pala,L,19440328,CZE,,Q323289,F Pala,,,
100087,John,Newcombe,R,19440523,AUS,183,Q312464,J Newcombe,,,
100088,Patricio,Cornejo,R,19440606,CHI,180,Q1271345,P Cornejo,,,
100089,Patrice,Beust,R,19440903,FRA,170,Q3368873,P Beust,,,
100090,Dick,Crealy,R,19440918,AUS,191,Q962839,D Crealy,,,
100091,Colin,Dibley,R,19440919,AUS,188,Q390839,C Dibley,,,
100092,Alex,Metreveli,R,19441102,RUS,,Q465796,A Metreveli,,,
100093,William,Brown,R,19450114,USA,,Q13512796,W Brown,,,
100094,Jim,Osborne,R,19450201,USA,185,Q1562015,J Osborne,,,
100095,Tony,Bardsley,R,19450209,CAN,,Q7821830,T Bardsley,,,
100096,Peter,Burwash,R,19450210,CAN,175,Q7173087,P Burwash,,,
100097,Nicholas,Kalogeropoulos,R,19450218,GRE,,Q3339850,N Kalogeropoulos,,,
100098,Ove Nils,Bengtson,R,19450405,SWE,196,Q374309,O Bengtson,,,
100099,Thomaz,Koch,L,19450511,BRA,,Q1281836,T Koch,,,
100100,Tony,Roche,L,19450517,AUS,178,Q710119,T Roche,,,
100101,Mike,Belkin,R,19450629,CAN,,Q1563966,M Belkin,,,
100102,Joaquin Loyo,Mayo,R,19450816,MEX,,Q1565143,J Mayo,,,
100103,Peter,Curtis,R,19450829,GBR,,Q3376525,P Curtis,,,
100104,D Richard,Russell,R,19450908,JAM,,,D Russell,,,
100105,Allan,Stone,R,19451014,AUS,,Q1260060,A Stone,,,
100106,Graham,Stilwell,R,19451115,GBR,173,Q5593283,G Stilwell,,,
100107,Robert,Rheinberger,R,19451118,AUS,,,R Rheinberger,,,
100108,Chris,Bovett,R,19451225,GBR,,,C Bovett,,,
100109,Jun,Kuki,R,19451228,JPN,,Q16267024,J Kuki,,,
100110,Terry,Addison,R,19460111,AUS,180,Q13848246,T Addison,,,
100111,Ray,Keldie,R,19460117,AUS,,Q7297691,R Keldie,,,
100112,John,Clifton,R,19460219,GBR,,Q6226389,J Clifton,,,
100113,Jan,Kodes,R,19460301,CZE,175,Q317431,J Kodes,,,
100114,Ray,Ruffels,R,19460323,AUS,,Q1258947,R Ruffels,,,
100115,Jaime,Fillol,R,19460603,CHI,180,Q1258592,J Fillol,,,
100116,Sherwood,Stewart,R,19460606,USA,188,Q984213,S Stewart,,,
100117,Butch,Seewagen,R,19460613,USA,188,Q18030909,B Seewagen,,,
100118,Ivan,Molina,L,19460616,COL,,Q1281826,I Molina,,,
100119,Ilie,Nastase,R,19460719,ROU,183,Q106113,I Nastase,,,
100120,Robert,Maud,R,19460812,RSA,180,Q1565123,R Maud,,,
100121,Raymond,Moore,R,19460824,RSA,183,Q1563090,R Moore,,,
100122,Julian,Ganzabal,R,19460825,ARG,,Q22004451,J Ganzabal,,,
100123,Patrick,Hombergen,R,19460908,BEL,,Q23023184,P Hombergen,,,
100124,Steve,Turner,R,19461017,USA,,,S Turner,,,
100125,John,Cooper,R,19461104,AUS,,Q1260301,J Cooper,,,
100126,Stan,Smith,R,19461214,USA,193,Q54657,S Smith,,,
100127,Tom,Gorman,R,19461219,USA,180,Q1258917,T Gorman,,,
100128,Cliff,Richey,R,19461231,USA,175,Q1565885,C Richey,,,
100129,Jean Baptiste,Chanfreau,R,19470117,FRA,,Q1563100,J Chanfreau,,,
100130,Vladimir,Zednik,R,19470201,CZE,,Q1261168,V Zednik,,,
100131,Guillermo,Oropez,R,19470207,USA,,,G Oropez,,,
100132,Armistead,Neely,R,19470319,USA,,Q18085277,A Neely,,,
100133,Pat,Cramer,R,19470321,RSA,,Q7143331,P Cramer,,,
100134,Roy,Barth,R,19470330,USA,175,Q18240972,R Barth,,,
100135,Onny,Parun,R,19470415,NZL,188,Q939026,O Parun,,,
100136,Humphrey,Hose,R,19470504,VEN,,Q22005197,H Hose,,,
100137,Hans Jurgen,Pohmann,R,19470523,GER,178,Q95218,H Pohmann,,,
100138,Dan,Bleckinger,R,19470527,USA,,,D Bleckinger,,,
100139,Gerald,Battrick,R,19470527,GBR,178,Q1565118,G Battrick,,,
100140,Steve,Faulk,R,19470601,USA,,,S Faulk,,,
100141,Zeljko,Franulovic,R,19470613,CRO,,Q1290977,Z Franulovic,,,
100142,Peter,Szoke,R,19470808,HUN,,Q1563115,P Szoke,,,
100143,Peter,Fishbach,R,19470829,USA,180,Q87758114,P Fishbach,,,
100144,Robert,Lutz,R,19470829,USA,180,Q888085,R Lutz,,,
100145,Dick,Dell,R,19470929,USA,,Q3026568,D Dell,,,
100146,Jun,Kamiwazumi,R,19471001,JPN,,Q11588830,J Kamiwazumi,,,
100147,Marcello,Lara,R,19471005,MEX,,Q1565079,M Lara,,,
100148,Ismail,El Shafei,R,19471115,EGY,,Q402950,I El Shafei,,,
100149,Toshiro,Sakai,R,19471123,JPN,,Q962038,T Sakai,,,
100150,Lito,Alvarez,R,19471205,ARG,,Q963823,L Alvarez,,,
100151,Karl,Coombes,R,19471217,AUS,180,Q16855126,K Coombes,,,
100152,David,Lloyd,R,19480103,GBR,,Q3018308,D Lloyd,,,
100153,Patrice,Hagelauer,R,19480105,FRA,188,Q3368955,P Hagelauer,,,
100154,Peter,Kanderal,R,19480116,SUI,,Q86628337,P Kanderal,,,
100155,Ramiro,Benavides,R,19480130,BOL,,,R Benavides,,,
100156,Jasjit,Singh,R,19480204,IND,,Q18091541,J Singh,,,
100157,Stanley,Pasarell,R,19480211,USA,185,,S Pasarell,,,
