,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2,match_id_num
61,2017,ausopen,1207,Lukas Lacko,Dudi Sela,,,,,,,,,,,1207
62,2017,ausopen,1208,Jeremy Chardy,Kei Nishikori,,,,,,,,,,,1208
63,2017,ausopen,1209,Stan Wawrinka,Steve Johnson,,,,,,,,,,,1209
64,2017,ausopen,1210,Paolo Lorenzi,Viktor Troicki,,,,,,,,,,,1210
65,2017,ausopen,1211,Diego Schwartzman,Steve Darcis,,,,,,,,,,,1211
66,2017,ausopen,1212,Andreas Seppi,Nick Kyrgios,,,,,,,,,,,1212
67,2017,ausopen,1213,Jo Wilfried Tsonga,Dusan Lajovic,,,,,,,,,,,1213
68,2017,ausopen,1214,Karen Khachanov,Jack Sock,,,,,,,,,,,1214
69,2017,ausopen,1215,Bernard Tomic,Victor Estrella Burgos,,,,,,,,,,,1215
70,2017,ausopen,1216,Daniel Evans,Marin Cilic,,,,,,,,,,,1216
71,2017,ausopen,1217,Gael Monfils,Alexandr Dolgopolov,,,,,,,,,,,1217
72,2017,ausopen,1218,Donald Young,Philipp Kohlschreiber,,,,,,,,,,,1218
73,2017,ausopen,1219,Alexander Zverev,Frances Tiafoe,,,,,,,,,,,1219
74,2017,ausopen,1220,Marcos Baghdatis,Rafael Nadal,,,,,,,,,,,1220
75,2017,ausopen,1221,Roberto Bautista Agut,Yoshihito Nishioka,,,,,,,,,,,1221
76,2017,ausopen,1222,Ernesto Escobedo,David Ferrer,,,,,,,,,,,1222
77,2017,ausopen,1223,Gilles Simon,Rogerio Dutra Silva,,,,,,,,,,,1223
78,2017,ausopen,1224,Gilles Muller,Milos Raonic,,,,,,,,,,,1224
79,2017,ausopen,1225,Dominic Thiem,Jordan Thompson,,,,,,,,,,,1225
80,2017,ausopen,1226,Benoit Paire,Fabio Fognini,,,,,,,,,,,1226
81,2017,ausopen,1227,Ivo Karlovic,Andrew Whittington,,,,,,,,,,,1227
82,2017,ausopen,1228,Radek Stepanek,David Goffin,,,,,,,,,,,1228
83,2017,ausopen,1229,Grigor Dimitrov,Hyeon Chung,,,,,,,,,,,1229
84,2017,ausopen,1230,Carlos Berlocq,Richard Gasquet,,,,,,,,,,,1230
85,2017,ausopen,1231,Pablo Carreno Busta,Kyle Edmund,,,,,,,,,,,1231
86,2017,ausopen,1232,Denis Istomin,Novak Djokovic,,,,,,,,,,,1232
87,2017,ausopen,1301,Andy Murray,Sam Querrey,,,,,,,,,,,1301
88,2017,ausopen,1302,Mischa Zverev,Malek Jaziri,,,,,,,,,,,1302
89,2017,ausopen,1303,Tomas Berdych,Roger Federer,,,,,,,,,,,1303
90,2017,ausopen,1304,Lukas Lacko,Kei Nishikori,,,,,,,,,,,1304
91,2017,ausopen,1305,Stan Wawrinka,Viktor Troicki,,,,,,,,,,,1305
92,2017,ausopen,1306,Steve Darcis,Andreas Seppi,,,,,,,,,,,1306
93,2017,ausopen,1307,Jo Wilfried Tsonga,Jack Sock,,,,,,,,,,,1307
94,2017,ausopen,1308,Bernard Tomic,Daniel Evans,,,,,,,,,,,1308
95,2017,ausopen,1309,Gael Monfils,Philipp Kohlschreiber,,,,,,,,,,,1309
96,2017,ausopen,1310,Alexander Zverev,Rafael Nadal,,,,,,,,,,,1310
97,2017,ausopen,1311,Roberto Bautista Agut,David Ferrer,,,,,,,,,,,1311
98,2017,ausopen,1312,Gilles Simon,Milos Raonic,,,,,,,,,,,1312
99,2017,ausopen,1313,Dominic Thiem,Benoit Paire,,,,,,,,,,,1313
100,2017,ausopen,1314,Ivo Karlovic,David Goffin,,,,,,,,,,,1314
101,2017,ausopen,1315,Grigor Dimitrov,Richard Gasquet,,,,,,,,,,,1315
102,2017,ausopen,1316,Pablo Carreno Busta,Denis Istomin,,,,,,,,,,,1316
103,2017,ausopen,1401,Andy Murray,Mischa Zverev,,,,,,,,,,,1401
104,2017,ausopen,1402,Roger Federer,Kei Nishikori,,,,,,,,,,,1402
105,2017,ausopen,1403,Stan Wawrinka,Andreas Seppi,,,,,,,,,,,1403
106,2017,ausopen,1404,Jo Wilfried Tsonga,Daniel Evans,,,,,,,,,,,1404
107,2017,ausopen,1405,Gael Monfils,Rafael Nadal,,,,,,,,,,,1405
108,2017,ausopen,1406,Roberto Bautista Agut,Milos Raonic,,,,,,,,,,,1406
109,2017,ausopen,1407,Dominic Thiem,David Goffin,,,,,,,,,,,1407
110,2017,ausopen,1408,Grigor Dimitrov,Denis Istomin,,,,,,,,,,,1408
111,2017,ausopen,1501,Mischa Zverev,Roger Federer,,,,,,,,,,,1501
112,2017,ausopen,1502,Stan Wawrinka,Jo Wilfried Tsonga,,,,,,,,,,,1502
113,2017,ausopen,1503,Rafael Nadal,Milos Raonic,,,,,,,,,,,1503
114,2017,ausopen,1504,David Goffin,Grigor Dimitrov,,,,,,,,,,,1504
115,2017,ausopen,1601,Roger Federer,Stan Wawrinka,,,,,,,,,,,1601
116,2017,ausopen,1602,Rafael Nadal,Grigor Dimitrov,,,,,,,,,,,1602
117,2017,ausopen,1701,Roger Federer,Rafael Nadal,,,,,,,,,,,1701
0,2017,frenchopen,1101,Andy Murray,Andrey Kuznetsov,,,,,,,,,,,1101
1,2017,frenchopen,1102,Laurent Lokoli,Martin Klizan,,,,,,,,,,,1102
2,2017,frenchopen,1103,Marcos Baghdatis,Nicolas Almagro,,,,,,,,,,,1103
3,2017,frenchopen,1104,Guido Pella,Juan Martin Del Potro,,,,,,,,,,,1104
4,2017,frenchopen,1105,John Isner,Jordan Thompson,,,,,,,,,,,1105
5,2017,frenchopen,1107,Karen Khachanov,Nicolas Jarry,,,,,,,,,,,1107
6,2017,frenchopen,1108,Jan Lennard Struff,Tomas Berdych,,,,,,,,,,,1108
7,2017,frenchopen,1109,Alexander Zverev,Fernando Verdasco,,,,,,,,,,,1109
8,2017,frenchopen,1110,Pierre Hugues Herbert,Jared Donaldson,,,,,,,,,,,1110
9,2017,frenchopen,1111,Damir Dzumhur,Nicolas Kicker,,,,,,,,,,,1111
10,2017,frenchopen,1112,Maxime Hamou,Pablo Cuevas,,,,,,,,,,,1112
11,2017,frenchopen,1113,Sam Querrey,Hyeon Chung,,,,,,,,,,,1113
12,2017,frenchopen,1114,Ernesto Escobedo,Denis Istomin,,,,,,,,,,,1114
13,2017,frenchopen,1115,Radu Albot,Jeremy Chardy,,,,,,,,,,,1115
14,2017,frenchopen,1116,Thanasi Kokkinakis,Kei Nishikori,,,,,,,,,,,1116
15,2017,frenchopen,1117,Stan Wawrinka,Jozef Kovalik,,,,,,,,,,,1117
16,2017,frenchopen,1119,Santiago Giraldo,Andreas Seppi,,,,,,,,,,,1119
17,2017,frenchopen,1120,Frances Tiafoe,Fabio Fognini,,,,,,,,,,,1120
18,2017,frenchopen,1121,Richard Gasquet,Arthur De Greef,,,,,,,,,,,1121
19,2017,frenchopen,1122,Teymuraz Gabashvili,Victor Estrella Burgos,,,,,,,,,,,1122
20,2017,frenchopen,1123,Thiago Monteiro,Alexandre Muller,,,,,,,,,,,1123
21,2017,frenchopen,1124,Dustin Brown,Gael Monfils,,,,,,,,,,,1124
22,2017,frenchopen,1125,Jo Wilfried Tsonga,Renzo Olivo,,,,,,,,,,,1125
23,2017,frenchopen,1126,Kyle Edmund,Gastao Elias,,,,,,,,,,,1126
24,2017,frenchopen,1127,Kevin Anderson,Malek Jaziri,,,,,,,,,,,1127
25,2017,frenchopen,1128,Philipp Kohlschreiber,Nick Kyrgios,,,,,,,,,,,1128
26,2017,frenchopen,1129,David Ferrer,Donald Young,,,,,,,,,,,1129
27,2017,frenchopen,1131,Konstantin Kravchuk,Federico Delbonis,,,,,,,,,,,1131
28,2017,frenchopen,1132,Ernests Gulbis,Marin Cilic,,,,,,,,,,,1132
29,2017,frenchopen,1133,Milos Raonic,Steve Darcis,,,,,,,,,,,1133
30,2017,frenchopen,1134,Rogerio Dutra Silva,Mikhail Youzhny,,,,,,,,,,,1134
31,2017,frenchopen,1135,Marco Trungelliti,Quentin Halys,,,,,,,,,,,1135
32,2017,frenchopen,1136,Guillermo Garcia Lopez,Gilles Muller,,,,,,,,,,,1136
33,2017,frenchopen,1137,Pablo Carreno Busta,Florian Mayer,,,,,,,,,,,1137
34,2017,frenchopen,1138,Taro Daniel,Jerzy Janowicz,,,,,,,,,,,1138
35,2017,frenchopen,1139,Tommy Robredo,Daniel Evans,,,,,,,,,,,1139
36,2017,frenchopen,1140,Stephane Robert,Grigor Dimitrov,,,,,,,,,,,1140
37,2017,frenchopen,1141,Jack Sock,Jiri Vesely,,,,,,,,,,,1141
38,2017,frenchopen,1142,Aljaz Bedene,Ryan Harrison,,,,,,,,,,,1142
39,2017,frenchopen,1143,Mikhail Kukushkin,Tennys Sandgren,,,,,,,,,,,1143
40,2017,frenchopen,1144,John Millman,Roberto Bautista Agut,,,,,,,,,,,1144
41,2017,frenchopen,1145,Gilles Simon,Nikoloz Basilashvili,,,,,,,,,,,1145
42,2017,frenchopen,1146,Viktor Troicki,Evgeny Donskoy,,,,,,,,,,,1146
43,2017,frenchopen,1147,Robin Haase,Alex De Minaur,,,,,,,,,,,1147
44,2017,frenchopen,1148,Benoit Paire,Rafael Nadal,,,,,,,,,,,1148
45,2017,frenchopen,1149,Dominic Thiem,Bernard Tomic,,,,,,,,,,,1149
46,2017,frenchopen,1150,Simone Bolelli,Nicolas Mahut,,,,,,,,,,,1150
47,2017,frenchopen,1151,Mathias Bourgue,Borna Coric,,,,,,,,,,,1151
48,2017,frenchopen,1152,Yuichi Sugita,Steve Johnson,,,,,,,,,,,1152
49,2017,frenchopen,1153,Ivo Karlovic,Stefanos Tsitsipas,,,,,,,,,,,1153
50,2017,frenchopen,1154,Horacio Zeballos,Adrian Mannarino,,,,,,,,,,,1154
51,2017,frenchopen,1156,Paul Henri Mathieu,David Goffin,,,,,,,,,,,1156
52,2017,frenchopen,1157,Lucas Pouille,Julien Benneteau,,,,,,,,,,,1157
53,2017,frenchopen,1158,Thomaz Bellucci,Dusan Lajovic,,,,,,,,,,,1158
54,2017,frenchopen,1159,Benjamin Bonzi,Daniil Medvedev,,,,,,,,,,,1159
55,2017,frenchopen,1160,Marius Copil,Albert Ramos Vinolas,,,,,,,,,,,1160
56,2017,frenchopen,1161,Mischa Zverev,Stefano Napolitano,,,,,,,,,,,1161
57,2017,frenchopen,1162,Andrey Rublev,Diego Schwartzman,,,,,,,,,,,1162
58,2017,frenchopen,1163,Joao Sousa,Janko Tipsarevic,,,,,,,,,,,1163
59,2017,frenchopen,1164,Marcel Granollers,Novak Djokovic,,,,,,,,,,,1164
60,2017,frenchopen,1201,Andy Murray,Martin Klizan,,,,,,,,,,,1201
61,2017,frenchopen,1202,Nicolas Almagro,Juan Martin Del Potro,,,,,,,,,,,1202
62,2017,frenchopen,1203,John Isner,Paolo Lorenzi,,,,,,,,,,,1203
63,2017,frenchopen,1204,Karen Khachanov,Tomas Berdych,,,,,,,,,,,1204
64,2017,frenchopen,1205,Fernando Verdasco,Pierre Hugues Herbert,,,,,,,,,,,1205
65,2017,frenchopen,1206,Nicolas Kicker,Pablo Cuevas,,,,,,,,,,,1206
66,2017,frenchopen,1207,Hyeon Chung,Denis Istomin,,,,,,,,,,,1207
