,match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2,match_id_num,player1_new,player2_new
0,2014-ausopen-1101,2014,ausopen,1101,Rafael Nadal,Bernard Tomic,,,,,,,,,,,1101,R Nadal,B Tomic
1,2014-ausopen-1102,2014,ausopen,1102,Thanasi Kokkinakis,Igor Sijsling,,,,,,,,,,,1102,T Kokkinakis,I Sijsling
2,2014-ausopen-1104,2014,ausopen,1104,Ryan Harrison,Gael Monfils,,,,,,,,,,,1104,R Harrison,G Monfils
3,2014-ausopen-1105,2014,ausopen,1105,Andreas Seppi,Lleyton Hewitt,,,,,,,,,,,1105,A Seppi,L Hewitt
4,2014-ausopen-1108,2014,ausopen,1108,Marinko Matosevic,Kei Nishikori,,,,,,,,,,,1108,M Matosevic,K Nishikori
5,2014-ausopen-1109,2014,ausopen,1109,Milos Raonic,Daniel Gimeno-Traver,,,,,,,,,,,1109,M Raonic,D Gimeno-Traver
6,2014-ausopen-1114,2014,ausopen,1114,Nick Kyrgios,Benjamin Becker,,,,,,,,,,,1114,N Kyrgios,B Becker
7,2014-ausopen-1116,2014,ausopen,1116,Rhyne Williams,Juan Martin Del Potro,,,,,,,,,,,1116,R Williams,J Martin Del Potro
8,2014-ausopen-1117,2014,ausopen,1117,Andy Murray,Go Soeda,,,,,,,,,,,1117,A Murray,G Soeda
9,2014-ausopen-1125,2014,ausopen,1125,Jo Wilfried Tsonga,Filippo Volandri,,,,,,,,,,,1125,J Wilfried Tsonga,F Volandri
10,2014-ausopen-1127,2014,ausopen,1127,Marin Cilic,Marcel Granollers,,,,,,,,,,,1127,M Cilic,M Granollers
11,2014-ausopen-1129,2014,ausopen,1129,Fernando Verdasco,Ze Zhang,,,,,,,,,,,1129,F Verdasco,Z Zhang
12,2014-ausopen-1132,2014,ausopen,1132,James Duckworth,Roger Federer,,,,,,,,,,,1132,J Duckworth,R Federer
13,2014-ausopen-1133,2014,ausopen,1133,Tomas Berdych,Aleksandr Nedovyesov,,,,,,,,,,,1133,T Berdych,A Nedovyesov
