,match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2,match_id_num,,player1_new,player2_new
0,2019-ausopen-1101,2019,ausopen,1101,N. Djokovic,M. Krueger,,,,,,,,,SRB,USA,1101,,N Djokovic,M Krueger
1,2019-ausopen-1102,2019,ausopen,1102,J. Tsonga,M. Klizan,,,,,,,,,FRA,SVK,1102,,J Tsonga,M Klizan
2,2019-ausopen-1103,2019,ausopen,1103,T. Daniel,T. Kokkinakis,,,,,,,,,JPN,AUS,1103,,T Daniel,T Kokkinakis
3,2019-ausopen-1104,2019,ausopen,1104,P. Andujar,D. Shapovalov,,,,,,,,,ESP,CAN,1104,,P Andujar,D Shapovalov
4,2019-ausopen-1105,2019,ausopen,1105,D. Goffin,C. Garin,,,,,,,,,BEL,CHI,1105,,D Goffin,C Garin
5,2019-ausopen-1106,2019,ausopen,1106,M. Granollers,M. Copil,,,,,,,,,ESP,ROU,1106,,M Granollers,M Copil
6,2019-ausopen-1107,2019,ausopen,1107,J. Vesely,R. Harrison,,,,,,,,,CZE,USA,1107,,J Vesely,R Harrison
7,2019-ausopen-1108,2019,ausopen,1108,L. Harris,D. Medvedev,,,,,,,,,RSA,RUS,1108,,L Harris,D Medvedev
8,2019-ausopen-1109,2019,ausopen,1109,F. Fognini,J. Munar,,,,,,,,,ITA,ESP,1109,,F Fognini,J Munar
9,2019-ausopen-1110,2019,ausopen,1110,N. Jarry,L. Mayer,,,,,,,,,CHI,ARG,1110,,N Jarry,L Mayer
10,2019-ausopen-1111,2019,ausopen,1111,I. Ivashka,M. Jaziri,,,,,,,,,BLR,TUN,1111,,I Ivashka,M Jaziri
11,2019-ausopen-1112,2019,ausopen,1112,L. Vanni,P. Carreno Busta,,,,,,,,,ITA,ESP,1112,,L Vanni,P Carreno Busta
12,2019-ausopen-1113,2019,ausopen,1113,P. Kohlschreiber,Z. Li,,,,,,,,,GER,CHN,1113,,P Kohlschreiber,Z Li
13,2019-ausopen-1114,2019,ausopen,1114,G. Pella,J. Sousa,,,,,,,,,ARG,POR,1114,,G Pella,J Sousa
14,2019-ausopen-1115,2019,ausopen,1115,I. Karlovic,H. Hurkacz,,,,,,,,,CRO,POL,1115,,I Karlovic,H Hurkacz
15,2019-ausopen-1116,2019,ausopen,1116,K. Majchrzak,K. Nishikori,,,,,,,,,POL,JPN,1116,,K Majchrzak,K Nishikori
16,2019-ausopen-1117,2019,ausopen,1117,A. Zverev,A. Bedene,,,,,,,,,GER,SLO,1117,,A Zverev,A Bedene
17,2019-ausopen-1118,2019,ausopen,1118,J. Chardy,U. Humbert,,,,,,,,,FRA,FRA,1118,,J Chardy,U Humbert
18,2019-ausopen-1119,2019,ausopen,1119,A. Bolt,J. Sock,,,,,,,,,AUS,USA,1119,,A Bolt,J Sock
19,2019-ausopen-1120,2019,ausopen,1120,B. Fratangelo,G. Simon,,,,,,,,,USA,FRA,1120,,B Fratangelo,G Simon
20,2019-ausopen-1121,2019,ausopen,1121,H. Chung,B. Klahn,,,,,,,,,KOR,USA,1121,,H Chung,B Klahn
21,2019-ausopen-1122,2019,ausopen,1122,S. Querrey,P. Herbert,,,,,,,,,USA,FRA,1122,,S Querrey,P Herbert
22,2019-ausopen-1123,2019,ausopen,1123,S. Wawrinka,E. Gulbis,,,,,,,,,SUI,LAT,1123,,S Wawrinka,E Gulbis
23,2019-ausopen-1124,2019,ausopen,1124,N. Kyrgios,M. Raonic,,,,,,,,,AUS,CAN,1124,,N Kyrgios,M Raonic
24,2019-ausopen-1125,2019,ausopen,1125,B. Coric,S. Darcis,,,,,,,,,CRO,BEL,1125,,B Coric,S Darcis
25,2019-ausopen-1126,2019,ausopen,1126,A. Ramos-Vinolas,M. Fucsovics,,,,,,,,,ESP,HUN,1126,,A Ramos-Vinolas,M Fucsovics
26,2019-ausopen-1127,2019,ausopen,1127,L. Djere,E. Donskoy,,,,,,,,,SRB,RUS,1127,,L Djere,E Donskoy
27,2019-ausopen-1128,2019,ausopen,1128,F. Krajinovic,M. Cecchinato,,,,,,,,,SRB,ITA,1128,,F Krajinovic,M Cecchinato
28,2019-ausopen-1129,2019,ausopen,1129,L. Pouille,M. Kukushkin,,,,,,,,,FRA,KAZ,1129,,L Pouille,M Kukushkin
29,2019-ausopen-1130,2019,ausopen,1130,M. Marterer,G. Sakharov,,,,,,,,,GER,FRA,1130,,M Marterer,G Sakharov
30,2019-ausopen-1131,2019,ausopen,1131,A. Popyrin,M. Zverev,,,,,,,,,AUS,GER,1131,,A Popyrin,M Zverev
31,2019-ausopen-1132,2019,ausopen,1132,B. Paire,D. Thiem,,,,,,,,,FRA,AUT,1132,,B Paire,D Thiem
32,2019-ausopen-1133,2019,ausopen,1133,M. Cilic,B. Tomic,,,,,,,,,CRO,AUS,1133,,M Cilic,B Tomic
33,2019-ausopen-1134,2019,ausopen,1134,A. Rublev,M. Mcdonald,,,,,,,,,RUS,USA,1134,,A Rublev,M Mcdonald
34,2019-ausopen-1135,2019,ausopen,1135,M. Mmoh,R. Albot,,,,,,,,,USA,MDA,1135,,M Mmoh,R Albot
35,2019-ausopen-1136,2019,ausopen,1136,M. Kecmanovic,F. Verdasco,,,,,,,,,SRB,ESP,1136,,M Kecmanovic,F Verdasco
36,2019-ausopen-1137,2019,ausopen,1137,R. Bautista Agut,A. Murray,,,,,,,,,ESP,GBR,1137,,R Bautista Agut,A Murray
37,2019-ausopen-1138,2019,ausopen,1138,F. Delbonis,J. Millman,,,,,,,,,ARG,AUS,1138,,F Delbonis,J Millman
38,2019-ausopen-1139,2019,ausopen,1139,Y. Nishioka,T. Sandgren,,,,,,,,,JPN,USA,1139,,Y Nishioka,T Sandgren
39,2019-ausopen-1140,2019,ausopen,1140,P. Gojowczyk,K. Khachanov,,,,,,,,,GER,RUS,1140,,P Gojowczyk,K Khachanov
40,2019-ausopen-1141,2019,ausopen,1141,S. Tsitsipas,M. Berrettini,,,,,,,,,GRE,ITA,1141,,S Tsitsipas,M Berrettini
41,2019-ausopen-1142,2019,ausopen,1142,V. Troicki,R. Carballes Baena,,,,,,,,,SRB,ESP,1142,,V Troicki,R Carballes Baena
42,2019-ausopen-1143,2019,ausopen,1143,S. Travaglia,G. Andreozzi,,,,,,,,,ITA,ARG,1143,,S Travaglia,G Andreozzi
43,2019-ausopen-1144,2019,ausopen,1144,C. Eubanks,N. Basilashvili,,,,,,,,,USA,GEO,1144,,C Eubanks,N Basilashvili
44,2019-ausopen-1145,2019,ausopen,1145,G. Monfils,D. Dzumhur,,,,,,,,,FRA,BIH,1145,,G Monfils,D Dzumhur
45,2019-ausopen-1146,2019,ausopen,1146,C. Norrie,T. Fritz,,,,,,,,,GBR,USA,1146,,C Norrie,T Fritz
46,2019-ausopen-1147,2019,ausopen,1147,T. Ito,D. Evans,,,,,,,,,JPN,GBR,1147,,T Ito,D Evans
47,2019-ausopen-1148,2019,ausopen,1148,D. Istomin,R. Federer,,,,,,,,,UZB,SUI,1148,,D Istomin,R Federer
48,2019-ausopen-1149,2019,ausopen,1149,K. Anderson,A. Mannarino,,,,,,,,,RSA,FRA,1149,,K Anderson,A Mannarino
49,2019-ausopen-1150,2019,ausopen,1150,F. Tiafoe,P. Gunneswaran,,,,,,,,,USA,IND,1150,,F Tiafoe,P Gunneswaran
50,2019-ausopen-1151,2019,ausopen,1151,F. Lopez,J. Thompson,,,,,,,,,ESP,AUS,1151,,F Lopez,J Thompson
51,2019-ausopen-1152,2019,ausopen,1152,A. Seppi,S. Johnson,,,,,,,,,ITA,USA,1152,,A Seppi,S Johnson
52,2019-ausopen-1153,2019,ausopen,1153,G. Dimitrov,J. Tipsarevic,,,,,,,,,BUL,SRB,1153,,G Dimitrov,J Tipsarevic
53,2019-ausopen-1154,2019,ausopen,1154,P. Cuevas,D. Lajovic,,,,,,,,,URU,SRB,1154,,P Cuevas,D Lajovic
54,2019-ausopen-1155,2019,ausopen,1155,J. Kubler,T. Fabbiano,,,,,,,,,AUS,ITA,1155,,J Kubler,T Fabbiano
55,2019-ausopen-1156,2019,ausopen,1156,R. Opelka,J. Isner,,,,,,,,,USA,USA,1156,,R Opelka,J Isner
56,2019-ausopen-1157,2019,ausopen,1157,K. Edmund,T. Berdych,,,,,,,,,GBR,CZE,1157,,K Edmund,T Berdych
57,2019-ausopen-1158,2019,ausopen,1158,G. Garcia-Lopez,R. Haase,,,,,,,,,ESP,NED,1158,,G Garcia-Lopez,R Haase
58,2019-ausopen-1159,2019,ausopen,1159,M. Polmans,D. Kudla,,,,,,,,,AUS,USA,1159,,M Polmans,D Kudla
59,2019-ausopen-1160,2019,ausopen,1160,R. Molleker,D. Schwartzman,,,,,,,,,GER,ARG,1160,,R Molleker,D Schwartzman
60,2019-ausopen-1161,2019,ausopen,1161,A. De Minaur,P. Sousa,,,,,,,,,AUS,POR,1161,,A De Minaur,P Sousa
61,2019-ausopen-1162,2019,ausopen,1162,M. Basic,H. Laaksonen,,,,,,,,,BIH,SUI,1162,,M Basic,H Laaksonen
62,2019-ausopen-1163,2019,ausopen,1163,M. Ebden,J. Struff,,,,,,,,,AUS,GER,1163,,M Ebden,J Struff
