,match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2,match_id_num,player1_new,player2_new
0,2020-ausopen-1101,2020,ausopen,1101,R. Nadal,H. Dellien,,,,,,,,,ESP,BOL,1101,R Nadal,H Dellien
1,2020-ausopen-1102,2020,ausopen,1102,F. Delbonis,J. Sousa,,,,,,,,,ARG,POR,1102,F Delbonis,J Sousa
2,2020-ausopen-1103,2020,ausopen,1103,C. Eubanks,P. Gojowczyk,,,,,,,,,USA,GER,1103,C Eubanks,P Gojowczyk
3,2020-ausopen-1104,2020,ausopen,1104,J. Kovalik,P. Carreno Busta,,,,,,,,,SVK,ESP,1104,J Kovalik,P Carreno Busta
4,2020-ausopen-1105,2020,ausopen,1105,N. Kyrgios,L. Sonego,,,,,,,,,AUS,ITA,1105,N Kyrgios,L Sonego
5,2020-ausopen-1106,2020,ausopen,1106,P. Cuevas,G. Simon,,,,,,,,,URU,FRA,1106,P Cuevas,G Simon
6,2020-ausopen-1107,2020,ausopen,1107,Y. Uchiyama,M. Ymer,,,,,,,,,JPN,SWE,1107,Y Uchiyama,M Ymer
7,2020-ausopen-1108,2020,ausopen,1108,M. Vilella Martinez,K. Khachanov,,,,,,,,,ESP,RUS,1108,M Vilella Martinez,K Khachanov
8,2020-ausopen-1109,2020,ausopen,1109,G. Monfils,Y. Lu,,,,,,,,,FRA,TPE,1109,G Monfils,Y Lu
9,2020-ausopen-1110,2020,ausopen,1110,I. Karlovic,V. Pospisil,,,,,,,,,CRO,CAN,1110,I Karlovic,V Pospisil
10,2020-ausopen-1111,2020,ausopen,1111,J. Duckworth,A. Bedene,,,,,,,,,AUS,SLO,1111,J Duckworth,A Bedene
11,2020-ausopen-1112,2020,ausopen,1112,E. Gulbis,F. Auger Aliassime,,,,,,,,,LAT,CAN,1112,E Gulbis,F Auger Aliassime
12,2020-ausopen-1113,2020,ausopen,1113,T. Fritz,T. Griekspoor,,,,,,,,,USA,NED,1113,T Fritz,T Griekspoor
13,2020-ausopen-1114,2020,ausopen,1114,I. Ivashka,K. Anderson,,,,,,,,,BLR,RSA,1114,I Ivashka,K Anderson
14,2020-ausopen-1115,2020,ausopen,1115,A. Bolt,A. Ramos-Vinolas,,,,,,,,,AUS,ESP,1115,A Bolt,A Ramos-Vinolas
15,2020-ausopen-1116,2020,ausopen,1116,A. Mannarino,D. Thiem,,,,,,,,,FRA,AUT,1116,A Mannarino,D Thiem
16,2020-ausopen-1117,2020,ausopen,1117,D. Medvedev,F. Tiafoe,,,,,,,,,RUS,USA,1117,D Medvedev,F Tiafoe
17,2020-ausopen-1118,2020,ausopen,1118,D. Koepfer,P. Martinez,,,,,,,,,GER,ESP,1118,D Koepfer,P Martinez
18,2020-ausopen-1119,2020,ausopen,1119,H. Gaston,J. Munar,,,,,,,,,FRA,ESP,1119,H Gaston,J Munar
19,2020-ausopen-1120,2020,ausopen,1120,A. Popyrin,J. Tsonga,,,,,,,,,AUS,FRA,1120,A Popyrin,J Wilfried Tsonga
20,2020-ausopen-1121,2020,ausopen,1121,J. Isner,T. Monteiro,,,,,,,,,USA,BRA,1121,J Isner,T Monteiro
21,2020-ausopen-1122,2020,ausopen,1122,A. Tabilo,D. Galan,,,,,,,,,CHI,COL,1122,A Tabilo,D Galan
22,2020-ausopen-1123,2020,ausopen,1123,M. Kecmanovic,A. Seppi,,,,,,,,,SRB,ITA,1123,M Kecmanovic,A Seppi
23,2020-ausopen-1124,2020,ausopen,1124,D. Dzumhur,S. Wawrinka,,,,,,,,,BIH,SUI,1124,D Dzumhur,S Wawrinka
24,2020-ausopen-1125,2020,ausopen,1125,D. Goffin,J. Chardy,,,,,,,,,BEL,FRA,1125,D Goffin,J Chardy
25,2020-ausopen-1126,2020,ausopen,1126,P. Herbert,C. Norrie,,,,,,,,,FRA,GBR,1126,P Herbert,C Norrie
26,2020-ausopen-1127,2020,ausopen,1127,Y. Sugita,E. Benchetrit,,,,,,,,,JPN,FRA,1127,Y Sugita,E Benchetrit
